"Listing for building: 432 - BRENDAN IRIBE CENTER"
"========================================="
"Room #","Area","Room Use","Organization Name"
"0101","103.49","710 COMPUTER/TE","GENU-STATE APPROPRIATIONS"
"0102","648.94","250 RESEARCH LB","CMNS-COMPUTER SCIENCE"
"0107","940.47","410 STUDY ROOM","CMNS-COMPUTER SCIENCE"
"0108","1,020.63","250 RESEARCH LB","ENGR-A. JAMES CLARK SCHOOL OF"
"0109","65.81","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"0110","1,307.72","250 RESEARCH LB","CMNS-COMPUTER SCIENCE"
"0111","479.61","635 FOOD SVC","VPSA-DINING SERVICES"
"0111A","80.52","635 FOOD SVC","VPSA-DINING SERVICES"
"0111B","303.29","635 FOOD SVC","VPSA-DINING SERVICES"
"0111C","88.28","635 FOOD SVC","VPSA-DINING SERVICES"
"0113","40.34","010A HSEKP CLST","GENU-STATE APPROPRIATIONS"
"0115","419.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"0116","1,079.06","250 RESEARCH LB","ENGR-A. JAMES CLARK SCHOOL OF"
"0117","32.80","030C ME ELE EQPT","GENU-STATE APPROPRIATIONS"
"0119","424.64","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"0120","516.98","030C ME ELE EQPT","GENU-STATE APPROPRIATIONS"
"0126","211.89","710 COMPUTER/TE","DIT-DIVISION OF INFORMATION TE"
"0133","191.11","030C ME ELE EQPT","GENU-STATE APPROPRIATIONS"
"0133A","173.95","030C ME ELE EQPT","GENU-STATE APPROPRIATIONS"
"0144","106.77","730 CTL STORAGE","VPA-FM-O&M-OPERATIONS & MAINTE"
"0145","129.62","010D HSEKP STG","GENU-STATE APPROPRIATIONS"
"0189","139.57","020P STAIRWELL","GENU-STATE APPROPRIATIONS"
"0190","543.63","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0191","1,023.29","020F LOAD PLTFM","GENU-STATE APPROPRIATIONS"
"0193","559.32","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0194","1,479.90","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0195","93.85","020B ELEVATOR","GENU-STATE APPROPRIATIONS"
"0197","291.01","020P STAIRWELL","GENU-STATE APPROPRIATIONS"
"0198","1,694.08","020J LOBBY","GENU-STATE APPROPRIATIONS"
"0199","199.16","020E STAIRWAY","GENU-STATE APPROPRIATIONS"
"0290","299.47","020P STAIRWELL","GENU-STATE APPROPRIATIONS"
"0293-1","892.96","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0293-2","940.86","650 LOUNGE","CMNS-COMPUTER SCIENCE"
"0293-3","163.08","650 LOUNGE","CMNS-COMPUTER SCIENCE"
"0295","70.67","020B ELEVATOR","GENU-STATE APPROPRIATIONS"
"0296","70.42","020B ELEVATOR","GENU-STATE APPROPRIATIONS"
"0297","362.91","020P STAIRWELL","GENU-STATE APPROPRIATIONS"
"0298","2,384.08","020J LOBBY","GENU-STATE APPROPRIATIONS"
"0299","273.33","020L FOYER/VESTB","GENU-STATE APPROPRIATIONS"
"0310-1","2,270.11","650 LOUNGE","CMNS-COMPUTER SCIENCE"
"0310-2","1,097.35","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0310-3","692.93","020A CORRIDOR","GENU-STATE APPROPRIATIONS"
"0314","60.56","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"0315","193.85","715 COMP TE SV","CMNS-COMPUTER SCIENCE"
"0315A","43.08","715 COMP TE SV","CMNS-COMPUTER SCIENCE"
"0315B","73.04","030F TELECOMM RM","GENU-STATE APPROPRIATIONS"
"0315C","164.97","710 COMPUTER/TE","CMNS-INSTITUTE FOR ADVANCED CO"
"0315D","167.39","710 COMPUTER/TE","DIT-DIVISION OF INFORMATION TE"
"0318","2,609.80","110B GP CLASSRM","GENU-STATE APPROPRIATIONS"
